"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2016-10-25 06:39:46.739543,TRUE,FALSE,0,FALSE,2016-10-25 06:39:46.739543,0
2016-10-25 17:57:37.280819,FALSE,FALSE,0,FALSE,2016-10-25 17:57:37.280819,0
2016-10-26 06:41:05.448331,TRUE,FALSE,0,FALSE,2016-10-26 06:41:05.448331,0
2016-10-26 17:46:26.103145,FALSE,FALSE,0,FALSE,2016-10-26 17:46:26.103145,0
2016-10-27 06:51:05.448331,TRUE,FALSE,0,FALSE,2016-10-27 06:51:05.448331,0
2016-10-27 17:59:18.551669,FALSE,FALSE,0,FALSE,2016-10-27 17:59:18.551669,0
2016-10-28 06:46:05.448331,TRUE,FALSE,0,FALSE,2016-10-28 06:46:05.448331,0
2016-10-28 17:27:00.020128,FALSE,FALSE,0,FALSE,2016-10-28 17:27:00.020128,0
2016-10-29 06:56:05.448331,TRUE,FALSE,0,FALSE,2016-10-29 06:56:05.448331,0
2016-10-29 17:59:18.551669,FALSE,FALSE,0,FALSE,2016-10-29 17:59:18.551669,0
2016-10-30 06:50:23.236188,TRUE,FALSE,0,FALSE,2016-10-30 06:50:23.236188,0
2016-10-30 17:51:23.121927,FALSE,FALSE,0,FALSE,2016-10-30 17:51:23.121927,0
2016-10-31 06:52:48.192364,TRUE,FALSE,0,FALSE,2016-10-31 06:52:48.192364,0
